City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,sitka,57.0531,-135.33,16.94,72,20,2.57,US,2023-06-22
220,micheweni,-4.9667,39.8333,25.11,72,73,6.15,TZ,2023-06-22
221,muromtsevo,56.3724,75.2418,9.94,65,66,2.98,RU,2023-06-22
222,abyek,36.0667,50.55,16.81,53,0,2.83,IR,2023-06-22
223,amahai,-3.3333,128.9167,27.86,75,100,2.39,ID,2023-06-22
224,tura,25.5198,90.2201,27.92,76,39,2.08,IN,2023-06-22
225,sihanoukville,10.6093,103.5296,30.97,70,40,4.12,KH,2023-06-22
226,dwarka,22.2394,68.9678,29.21,71,100,5.14,IN,2023-06-22
227,labuan,5.2767,115.2417,29.2,74,20,1.54,MY,2023-06-22
228,villa juarez,24.6536,-107.5411,27.14,75,86,2.69,MX,2023-06-22
229,east london,-33.0153,27.9116,13.66,73,10,6.55,ZA,2023-06-22
230,northam,51.0333,-4.2167,15.22,96,94,2.79,GB,2023-06-22
231,griffith,41.5284,-87.4237,22.96,69,75,0.45,US,2023-06-22
232,san ignacio de velasco,-16.3667,-60.95,21.19,76,61,1.55,BO,2023-06-22
233,novyy urgal,51.0736,132.5642,22.59,36,10,0.99,RU,2023-06-22
234,margate,51.3813,1.3862,15.73,91,7,1.34,GB,2023-06-22
235,kiunga,-6.1219,141.2906,27.6,72,100,1.54,PG,2023-06-22
236,paradip garh,20.3167,86.6167,30.45,63,100,1.43,IN,2023-06-22
237,bhamo,24.2667,97.2333,24.57,99,100,0.43,MM,2023-06-22
238,gandi,12.9636,5.7434,26.89,56,100,6.55,NG,2023-06-22
239,neftcala,39.3742,49.2472,22.67,53,24,2.62,AZ,2023-06-22
240,opuwo,-18.0607,13.84,12.89,25,0,2.29,NA,2023-06-22
241,sangola,17.4333,75.2,28.44,57,95,4.2,IN,2023-06-22
242,gaomi,36.3833,119.7528,38.45,17,0,3.4,CN,2023-06-22
243,mollendo,-17.0231,-72.0147,17.0,86,47,2.86,PE,2023-06-22
244,bonthe,7.5264,-12.505,24.24,90,99,1.01,SL,2023-06-22
245,naryn,41.4287,75.9911,19.13,46,25,1.1,KG,2023-06-22
246,havre,49.5833,0.3333,15.87,94,20,6.17,FR,2023-06-22
247,shizuishan,39.2333,106.7694,31.34,21,100,6.14,CN,2023-06-22
248,katsuura,35.1333,140.3,22.01,83,100,1.44,JP,2023-06-22
249,al bardiyah,31.7561,25.0865,22.4,80,0,4.89,LY,2023-06-22
250,sur,22.5667,59.5289,32.37,58,36,1.52,OM,2023-06-22
251,nuuk,64.1835,-51.7216,3.34,93,100,1.54,GL,2023-06-22
252,natal,-5.795,-35.2094,23.36,100,20,2.57,BR,2023-06-22
253,aykhal,66.0,111.5,15.23,85,100,2.88,RU,2023-06-22
254,muynoq,43.7683,59.0214,23.6,49,73,5.18,UZ,2023-06-22
255,kudahuvadhoo,2.6708,72.8944,28.27,76,100,6.2,MV,2023-06-22
256,thompson,55.7435,-97.8558,16.09,59,75,3.09,CA,2023-06-22
257,easton,40.6884,-75.2207,19.64,79,100,3.09,US,2023-06-22
258,bandarbeyla,9.4942,50.8122,25.07,73,54,9.43,SO,2023-06-22
259,rosario,-32.9468,-60.6393,11.08,76,66,3.6,AR,2023-06-22
260,sao tome,0.3365,6.7273,24.02,83,75,6.17,ST,2023-06-22
261,miandrivazo,-19.5167,45.4667,16.54,73,0,0.19,MG,2023-06-22
262,nova vicosa,-17.8919,-39.3719,21.71,67,22,2.18,BR,2023-06-22
263,rosetta,31.4044,30.4164,23.32,79,0,2.91,EG,2023-06-22
264,sarmiento,-45.5882,-69.07,8.5,52,83,10.16,AR,2023-06-22
265,brindisi,40.5833,17.6667,25.24,53,2,0.53,IT,2023-06-22
266,milici,44.1711,19.0903,16.65,77,8,1.83,BA,2023-06-22
267,sabang,5.8933,95.3214,27.45,71,55,1.06,ID,2023-06-22
268,christchurch,-43.5333,172.6333,14.39,89,75,5.14,NZ,2023-06-22
269,callao,-12.0667,-77.15,21.16,73,100,5.66,PE,2023-06-22
270,el calafate,-50.3408,-72.2768,2.47,91,100,0.13,AR,2023-06-22
271,akhtubinsk,48.2795,46.1722,17.72,41,3,2.18,RU,2023-06-22
272,prince george,53.9166,-122.753,23.69,40,0,4.12,CA,2023-06-22
273,aban,56.67,96.06,18.33,51,96,3.46,RU,2023-06-22
274,alice springs,-23.7,133.8833,16.75,31,8,1.54,AU,2023-06-22
275,kerikeri,-35.2268,173.9474,16.47,79,68,2.84,NZ,2023-06-22
276,el-tor,28.2364,33.6254,24.71,64,0,6.13,EG,2023-06-22
